wandb: Currently logged in as: iamsamliang (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.15
wandb: Run data is saved locally in /n/fs/nlp-saml/RACoLN_cycleloss/wandb/run-20220503_084219-2iq44l8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no_cycle_loss
wandb: ⭐️ View project at https://wandb.ai/iamsamliang/RACoLN
wandb: 🚀 View run at https://wandb.ai/iamsamliang/RACoLN/runs/2iq44l8k
2022-05-03 09:04:52 | INFO | train_tsf_model.py | [Iteration 3600] Model Checkpoint Saved with Loss : 0.743, Acc : 98.9, BLEU : 35.754
2022-05-03 09:05:26 | INFO | train_tsf_model.py | [Iteration 3700] SelfLoss : 0.806 CycleLoss : 0 StyleLoss : 0.017 ContentLoss : 0.155
2022-05-03 09:05:31 | INFO | train_tsf_model.py | [Iteration 3700] Model Checkpoint Saved with Loss : 0.722, Acc : 99.0, BLEU : 35.804
2022-05-03 09:06:04 | INFO | train_tsf_model.py | [Iteration 3800] SelfLoss : 0.925 CycleLoss : 0 StyleLoss : 0.025 ContentLoss : 0.158
2022-05-03 09:06:08 | INFO | train_tsf_model.py | [Iteration 3800] Model Checkpoint Saved with Loss : 0.709, Acc : 98.7, BLEU : 36.819
2022-05-03 09:06:40 | INFO | train_tsf_model.py | [Iteration 3900] SelfLoss : 0.816 CycleLoss : 0 StyleLoss : 0.018 ContentLoss : 0.15
2022-05-03 09:06:44 | INFO | train_tsf_model.py | [Iteration 3900] Model Checkpoint Saved with Loss : 0.681, Acc : 98.4, BLEU : 38.418
2022-05-03 09:07:17 | INFO | train_tsf_model.py | [Iteration 4000] SelfLoss : 0.822 CycleLoss : 0 StyleLoss : 0.012 ContentLoss : 0.15
2022-05-03 09:07:21 | INFO | train_tsf_model.py | [Iteration 4000] Model Checkpoint Saved with Loss : 0.657, Acc : 98.3, BLEU : 38.979
2022-05-03 09:07:53 | INFO | train_tsf_model.py | [Iteration 4100] SelfLoss : 0.796 CycleLoss : 0 StyleLoss : 0.026 ContentLoss : 0.154
2022-05-03 09:07:57 | INFO | train_tsf_model.py | [Iteration 4100] Model Checkpoint Saved with Loss : 0.644, Acc : 98.4, BLEU : 40.304
